# EXPERIMENT F1 -- raw sweep-extreme stop, no 0.20 x 5m ATR buffer. Pooled foldSel=ALL.
# Source: p15/exec_arms/V53_EXEC_P15_F1_stop_raw_extreme.pine
#   sha256 4b305b21e3a2470575585945e79e94f91cb8a36d9f4524e70c72a4f620424af9
#   derived from p15/executed/V53_EXECUTED_BUILD.pine (sha256 2dafbafd...), 1 hunk, +1/-1 line.
#   Output layer byte-identical to the executed baseline (verified).
# Injected via pine_set_source (602 lines) + pine_smart_compile; pineVersion 140.0 -> 141.0.
# Residue checks before injection: C1 aA 0, D1 marker 0, E1 marker 0; qV BOS fallback present;
#   strict single-bar FVG test present. All frozen inputs verified after compile (in_4 bufATR
#   remains 0.2 as an input but is no longer referenced by the stop assignment).
#
# INVARIANT ENFORCED (corrected before the run):
#   sweeps -> CHOCH -> CHOCH retest -> BOS+disp -> FVG must be baseline-identical. Any change
#   there is an upstream leak and a hard stop.
#   FILLS ARE NOT PART OF THE INVARIANT. The stop sits inside the fill gate: the fill loop
#   computes r = |E - stp|, ratio = r / ATR, and fills only if minRatr <= ratio <= maxRatr.
#   Changing the stop changes r, so it can move a touch across the R-band boundary. Any fills
#   delta must therefore be fully absorbed by the R-band reject counter, verified by the
#   conservation identity  FVG = fills + R-band rejects + FVG retest expiry,  which holds
#   exactly on baseline data. Columns rbandRej and fvgExp are recorded per cell for audit.
MGC L 1m ALL | bars 19218 | cov 18645 | sw 884 | ch 738 | rt 664 | bos 12 | fvg 10 | fill 5 | W1 Ls3 TO1 | Rpre 1 | Rpost 0.57 | avg 0.114 | med -1.0309 | mcL 3 | ddR 3.354 | ddU 177 | usd 27 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 2 | fvgExp 3
MGC1!|L|3m|ALL|sw 2026-07-13 04:10|SW|swX 4060|ch 2026-07-13 04:57|chL 4065.5|rt 2026-07-13 05:00|bos 2026-07-13 05:06|bosL 4065.7|fvg 4070.4-4076.1|en 2026-07-13 05:20|enPx 4070.4|stop 4060|LOSS|-1.029R|$-107|stop|2bars
MGC1!|L|3m|ALL|sw 2026-07-13 04:15|SW|swX 4057.8|ch 2026-07-13 04:57|chL 4065.5|rt 2026-07-13 05:00|bos 2026-07-13 05:06|bosL 4065.7|fvg 4070.4-4076.1|en 2026-07-13 05:20|enPx 4070.4|stop 4057.8|LOSS|-1.024R|$-129|stop|8bars
MGC S 3m ALL | bars 19218 | cov 19218 | sw 872 | ch 347 | rt 262 | bos 20 | fvg 13 | fill 2 | W0 Ls2 TO0 | Rpre -2 | Rpost -2.051 | avg -1.0255 | med -1.0255 | mcL 2 | ddR 2.051 | ddU 243 | usd -243 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 5 | fvgExp 6
MGC1!|S|3m|ALL|sw 2026-07-09 00:05|SW|swX 4092.6|ch 2026-07-09 00:51|chL 4083|rt 2026-07-09 00:54|bos 2026-07-09 01:00|bosL 4081.3|fvg 4081.2-4081.8|en 2026-07-09 01:10|enPx 4081.8|stop 4092.6|LOSS|-1.028R|$-111|stop|56bars
MGC1!|S|3m|ALL|sw 2026-07-09 00:20|SW|swX 4094.7|ch 2026-07-09 00:51|chL 4083|rt 2026-07-09 00:54|bos 2026-07-09 01:00|bosL 4081.3|fvg 4081.2-4081.8|en 2026-07-09 01:10|enPx 4081.8|stop 4094.7|LOSS|-1.023R|$-132|stop|58bars
MGC S 1m ALL | bars 19218 | cov 18645 | sw 872 | ch 790 | rt 703 | bos 20 | fvg 18 | fill 7 | W3 Ls4 TO0 | Rpre 11 | Rpost 10.174 | avg 1.4535 | med -1.0303 | mcL 4 | ddR 4.19 | ddU 309 | usd 162 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 5 | fvgExp 6
MGC1!|S|1m|ALL|sw 2026-06-02 22:10|SW|swX 4521.6|ch 2026-06-02 22:25|chL 4517.4|rt 2026-06-02 22:26|bos 2026-06-02 22:45|bosL 4516.8|fvg 4516-4517.7|en 2026-06-02 22:50|enPx 4517.7|stop 4521.6|WIN|4.923R|$192|target|5bars
MGC1!|S|1m|ALL|sw 2026-06-02 22:00|SW|swX 4522.8|ch 2026-06-02 22:25|chL 4517.4|rt 2026-06-02 22:26|bos 2026-06-02 22:45|bosL 4516.8|fvg 4516-4517.7|en 2026-06-02 22:50|enPx 4517.7|stop 4522.8|WIN|4.941R|$252|target|7bars
MGC1!|S|1m|ALL|sw 2026-08-07 20:00|SW|swX 4404.6|ch 2026-08-07 20:27|chL 4397.3|rt 2026-08-07 20:28|bos 2026-08-09 22:02|bosL 4399|fvg 4398.7-4404|en 2026-08-09 22:10|enPx 4404|stop 4404.6|WIN|4.5R|$27|target|1bars
MGC1!|S|1m|ALL|sw 2026-08-17 11:45|PD|swX 4457.6|ch 2026-08-17 12:01|chL 4451.3|rt 2026-08-17 12:02|bos 2026-08-17 12:26|bosL 4449.4|fvg 4446.2-4447.7|en 2026-08-17 13:35|enPx 4447.7|stop 4457.6|LOSS|-1.03R|$-102|stop|3bars
MGC1!|S|1m|ALL|sw 2026-08-17 11:50|PD|swX 4455.5|ch 2026-08-17 12:09|chL 4450|rt 2026-08-17 12:10|bos 2026-08-17 12:26|bosL 4449.4|fvg 4446.2-4447.7|en 2026-08-17 13:35|enPx 4447.7|stop 4455.5|LOSS|-1.038R|$-81|stop|3bars
MGC1!|S|1m|ALL|sw 2026-08-24 11:40|AS|swX 4724.5|ch 2026-08-24 12:01|chL 4713|rt 2026-08-24 12:07|bos 2026-08-24 12:32|bosL 4712.5|fvg 4712.7-4716|en 2026-08-24 12:35|enPx 4716|stop 4724.5|LOSS|-1.035R|$-88|stop|1bars
MGC1!|S|1m|ALL|sw 2026-08-24 11:45|AS+SW|swX 4719.5|ch 2026-08-24 12:01|chL 4713|rt 2026-08-24 12:07|bos 2026-08-24 12:32|bosL 4712.5|fvg 4712.7-4716|en 2026-08-24 12:35|enPx 4716|stop 4719.5|LOSS|-1.086R|$-38|stop|1bars
MNQ S 1m ALL | bars 19200 | cov 18644 | sw 1128 | ch 967 | rt 845 | bos 42 | fvg 26 | fill 18 | W2 Ls15 TO1 | Rpre -6 | Rpost -7.368 | avg -0.4093 | med -1.0488 | mcL 14 | ddR 15.106 | ddU 1044 | usd -343.5 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 6 | fvgExp 2
MNQ1!|S|1m|ALL|sw 2026-05-29 17:45|AS|swX 30355.5|ch 2026-05-29 17:54|chL 30334|rt 2026-05-29 18:05|bos 2026-05-29 18:45|bosL 30367|fvg 30352-30380.25|en 2026-05-29 19:25|enPx 30380.25|stop 30355.5|LOSS|-1.061R|$-52.5|stop|2bars
MNQ1!|S|1m|ALL|sw 2026-05-29 20:05|SW|swX 30410.25|ch 2026-05-29 20:40|chL 30383.25|rt 2026-05-29 20:44|bos 2026-05-31 22:02|bosL 30380.75|fvg 30381-30398.5|en 2026-05-31 22:10|enPx 30398.5|stop 30410.25|LOSS|-1.128R|$-26.5|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-06-03 04:10|SW|swX 30730.5|ch 2026-06-03 04:46|chL 30715.25|rt 2026-06-03 04:47|bos 2026-06-03 05:00|bosL 30701.75|fvg 30693.25-30701.5|en 2026-06-03 05:05|enPx 30701.5|stop 30730.5|LOSS|-1.052R|$-61|stop|25bars
MNQ1!|S|1m|ALL|sw 2026-06-03 04:15|SW|swX 30727.75|ch 2026-06-03 04:46|chL 30715.25|rt 2026-06-03 04:47|bos 2026-06-03 05:00|bosL 30701.75|fvg 30693.25-30701.5|en 2026-06-03 05:05|enPx 30701.5|stop 30727.75|LOSS|-1.057R|$-55.5|stop|25bars
MNQ1!|S|1m|ALL|sw 2026-06-17 12:30|SW|swX 30503.25|ch 2026-06-17 12:57|chL 30494.5|rt 2026-06-17 12:58|bos 2026-06-17 13:30|bosL 30488.75|fvg 30487.25-30497.25|en 2026-06-17 13:40|enPx 30497.25|stop 30503.25|LOSS|-1.25R|$-15|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-06-17 12:35|SW|swX 30520.75|ch 2026-06-17 12:57|chL 30494.5|rt 2026-06-17 12:58|bos 2026-06-17 13:30|bosL 30488.75|fvg 30487.25-30497.25|en 2026-06-17 13:40|enPx 30497.25|stop 30520.75|LOSS|-1.064R|$-50|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-06-17 12:55|SW|swX 30503.25|ch 2026-06-17 13:06|chL 30475|rt 2026-06-17 13:07|bos 2026-06-17 13:30|bosL 30488.75|fvg 30487.25-30497.25|en 2026-06-17 13:40|enPx 30497.25|stop 30503.25|LOSS|-1.25R|$-15|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-06-17 13:45|SW|swX 30540.75|ch 2026-06-17 13:56|chL 30426.5|rt 2026-06-17 14:08|bos 2026-06-17 14:47|bosL 30373.75|fvg 30381.75-30423.75|en 2026-06-17 14:50|enPx 30423.75|stop 30540.75|LOSS|-1.013R|$-237|timeout|144bars
MNQ1!|S|1m|ALL|sw 2026-07-10 13:35|SW|swX 29937|ch 2026-07-10 14:19|chL 29906|rt 2026-07-10 14:20|bos 2026-07-10 14:32|bosL 29845.5|fvg 29835-29913.75|en 2026-07-10 15:15|enPx 29913.75|stop 29937|LOSS|-1.065R|$-49.5|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-07-10 13:50|AS|swX 29968.5|ch 2026-07-10 14:19|chL 29906|rt 2026-07-10 14:20|bos 2026-07-10 14:32|bosL 29845.5|fvg 29835-29913.75|en 2026-07-10 15:15|enPx 29913.75|stop 29968.5|LOSS|-1.027R|$-112.5|stop|2bars
MNQ1!|S|1m|ALL|sw 2026-07-20 11:20|SW|swX 29008.25|ch 2026-07-20 11:47|chL 29075.5|rt 2026-07-20 11:52|bos 2026-07-20 12:02|bosL 29048.25|fvg 29006.25-29041|en 2026-07-20 12:30|enPx 29041|stop 29008.25|LOSS|-1.046R|$-68.5|stop|12bars
MNQ1!|S|1m|ALL|sw 2026-07-31 20:00|PD|swX 28436|ch 2026-07-31 20:30|chL 28364.25|rt 2026-07-31 20:31|bos 2026-07-31 20:53|bosL 28378|fvg 28349.5-28377|en 2026-08-02 22:00|enPx 28377|stop 28436|LOSS|-1.025R|$-121|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-08-12 19:10|PD|swX 29894.25|ch 2026-08-12 19:37|chL 29853.25|rt 2026-08-12 19:38|bos 2026-08-12 19:55|bosL 29838.75|fvg 29837.5-29848.75|en 2026-08-12 20:00|enPx 29848.75|stop 29894.25|LOSS|-1.033R|$-94|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-08-12 19:20|PD|swX 29890.25|ch 2026-08-12 19:37|chL 29853.25|rt 2026-08-12 19:38|bos 2026-08-12 19:55|bosL 29838.75|fvg 29837.5-29848.75|en 2026-08-12 20:00|enPx 29848.75|stop 29890.25|LOSS|-1.036R|$-86|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-08-24 11:45|SW|swX 29260.5|ch 2026-08-24 12:18|chL 29207.5|rt 2026-08-24 12:19|bos 2026-08-24 12:32|bosL 29213.5|fvg 29202.25-29217.5|en 2026-08-24 12:35|enPx 29217.5|stop 29260.5|WIN|4.965R|$427|target|13bars
MNQ1!|S|1m|ALL|sw 2026-08-24 11:55|SW|swX 29254.75|ch 2026-08-24 12:18|chL 29207.5|rt 2026-08-24 12:19|bos 2026-08-24 12:32|bosL 29213.5|fvg 29202.25-29217.5|en 2026-08-24 12:35|enPx 29217.5|stop 29254.75|WIN|4.96R|$369.5|target|13bars
MNQ1!|S|1m|ALL|sw 2026-08-28 12:35|SW|swX 29637.75|ch 2026-08-28 13:20|chL 29651.25|rt 2026-08-28 13:21|bos 2026-08-28 13:30|bosL 29622.25|fvg 29612.5-29627.25|en 2026-08-28 13:35|enPx 29627.25|stop 29637.75|LOSS|-1.143R|$-24|stop|1bars
MNQ1!|S|1m|ALL|sw 2026-08-28 12:30|SW|swX 29661.75|ch 2026-08-28 13:20|chL 29651.25|rt 2026-08-28 13:21|bos 2026-08-28 13:30|bosL 29622.25|fvg 29612.5-29627.25|en 2026-08-28 13:35|enPx 29627.25|stop 29661.75|LOSS|-1.043R|$-72|stop|1bars
MNQ S 3m ALL | bars 19200 | cov 19200 | sw 1128 | ch 427 | rt 316 | bos 21 | fvg 18 | fill 11 | W3 Ls6 TO2 | Rpre 7 | Rpost 6.58 | avg 0.5982 | med -1.0245 | mcL 5 | ddR 5.219 | ddU 489.5 | usd 566.5 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 5 | fvgExp 2
MNQ1!|S|3m|ALL|sw 2026-06-03 12:45|AS|swX 30733.75|ch 2026-06-03 13:33|chL 30699.25|rt 2026-06-03 13:36|bos 2026-06-03 13:42|bosL 30703.75|fvg 30649.25-30694|en 2026-06-03 14:15|enPx 30694|stop 30733.75|LOSS|-1.038R|$-82.5|stop|5bars
MNQ1!|S|3m|ALL|sw 2026-06-03 12:50|AS|swX 30734.75|ch 2026-06-03 13:33|chL 30699.25|rt 2026-06-03 13:36|bos 2026-06-03 13:42|bosL 30703.75|fvg 30649.25-30694|en 2026-06-03 14:15|enPx 30694|stop 30734.75|LOSS|-1.037R|$-84.5|stop|5bars
MNQ1!|S|3m|ALL|sw 2026-07-05 23:40|SW|swX 29989.25|ch 2026-07-06 00:00|chL 29963.5|rt 2026-07-06 00:06|bos 2026-07-06 00:27|bosL 29900.25|fvg 29908.75-29928|en 2026-07-06 00:35|enPx 29928|stop 29989.25|LOSS|-1.024R|$-125.5|timeout|144bars
MNQ1!|S|3m|ALL|sw 2026-07-22 00:25|SW|swX 29316.75|ch 2026-07-22 00:45|chL 29272|rt 2026-07-22 00:48|bos 2026-07-22 01:00|bosL 29258.5|fvg 29249-29273.25|en 2026-07-22 01:45|enPx 29273.25|stop 29316.75|WIN|4.966R|$432|target|64bars
MNQ1!|S|3m|ALL|sw 2026-07-22 00:20|SW|swX 29327.75|ch 2026-07-22 00:45|chL 29272|rt 2026-07-22 00:48|bos 2026-07-22 01:00|bosL 29258.5|fvg 29249-29273.25|en 2026-07-22 01:45|enPx 29273.25|stop 29327.75|WIN|4.972R|$542|target|127bars
MNQ1!|S|3m|ALL|sw 2026-08-24 11:45|SW|swX 29260.5|ch 2026-08-24 12:03|chL 29230.75|rt 2026-08-24 12:06|bos 2026-08-24 12:30|bosL 29203|fvg 29208-29222.75|en 2026-08-24 12:40|enPx 29222.75|stop 29260.5|WIN|4.96R|$374.5|target|12bars
MNQ1!|S|3m|ALL|sw 2026-08-27 20:10|AS|swX 29667.5|ch 2026-08-27 20:48|chL 29634.25|rt 2026-08-27 20:57|bos 2026-08-27 22:00|bosL 29620.25|fvg 29623-29628.5|en 2026-08-27 22:15|enPx 29628.5|stop 29667.5|LOSS|-1.038R|$-81|stop|31bars
MNQ1!|S|3m|ALL|sw 2026-08-27 20:05|SW|swX 29693.75|ch 2026-08-27 20:48|chL 29634.25|rt 2026-08-27 20:57|bos 2026-08-27 22:00|bosL 29620.25|fvg 29623-29628.5|en 2026-08-27 22:15|enPx 29628.5|stop 29693.75|LOSS|-1.023R|$-133.5|stop|46bars
MNQ1!|S|3m|ALL|sw 2026-08-27 20:00|SW|swX 29707.5|ch 2026-08-27 20:48|chL 29634.25|rt 2026-08-27 20:57|bos 2026-08-27 22:00|bosL 29620.25|fvg 29623-29628.5|en 2026-08-27 22:15|enPx 29628.5|stop 29707.5|LOSS|-1.019R|$-161|timeout|144bars
MNQ1!|S|3m|ALL|sw 2026-08-28 12:35|SW|swX 29637.75|ch 2026-08-28 13:21|chL 29650|rt 2026-08-28 13:24|bos 2026-08-28 13:30|bosL 29613.5|fvg 29613.75-29622.75|en 2026-08-28 13:40|enPx 29622.75|stop 29637.75|LOSS|-1.1R|$-33|stop|1bars
MNQ1!|S|3m|ALL|sw 2026-08-28 12:30|SW|swX 29661.75|ch 2026-08-28 13:21|chL 29650|rt 2026-08-28 13:24|bos 2026-08-28 13:30|bosL 29613.5|fvg 29613.75-29622.75|en 2026-08-28 13:40|enPx 29622.75|stop 29661.75|LOSS|-1.038R|$-81|stop|1bars
MNQ L 3m ALL | bars 19200 | cov 19200 | sw 952 | ch 362 | rt 258 | bos 14 | fvg 6 | fill 1 | W0 Ls1 TO0 | Rpre -1 | Rpost -1.008 | avg -1.0083 | med -1.0083 | mcL 1 | ddR 1.008 | ddU 363.5 | usd -363.5 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 1 | fvgExp 4
MNQ1!|L|3m|ALL|sw 2026-06-10 13:05|AS|swX 28822|ch 2026-06-10 13:36|chL 28890|rt 2026-06-10 13:39|bos 2026-06-10 13:42|bosL 28991.5|fvg 29002.25-29019.25|en 2026-06-10 13:50|enPx 29002.25|stop 28822|LOSS|-1.008R|$-363.5|stop|15bars
MNQ L 1m ALL | bars 19200 | cov 18644 | sw 952 | ch 829 | rt 762 | bos 33 | fvg 22 | fill 12 | W0 Ls12 TO0 | Rpre -12 | Rpost -12.38 | avg -1.0317 | med -1.0232 | mcL 12 | ddR 12.38 | ddU 1709.5 | usd -1709.5 | ASSERT 0/0/0/0/0/0/0/0 | rbandRej 4 | fvgExp 6
MNQ1!|L|1m|ALL|sw 2026-06-11 12:55|SW|swX 28778|ch 2026-06-11 13:23|chL 28786.75|rt 2026-06-11 13:24|bos 2026-06-11 13:45|bosL 28783.5|fvg 28766.75-28804.25|en 2026-06-11 14:15|enPx 28766.75|stop 28778|LOSS|-1.133R|$-25.5|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-06-25 11:30|SW|swX 30099|ch 2026-06-25 12:04|chL 30140.5|rt 2026-06-25 12:13|bos 2026-06-25 12:30|bosL 30145.75|fvg 30140.25-30204.75|en 2026-06-25 13:15|enPx 30140.25|stop 30099|LOSS|-1.036R|$-85.5|stop|3bars
MNQ1!|L|1m|ALL|sw 2026-07-05 22:10|SW|swX 29875.5|ch 2026-07-05 22:20|chL 29923.5|rt 2026-07-05 22:21|bos 2026-07-05 23:12|bosL 29961|fvg 29937.75-29982|en 2026-07-06 00:00|enPx 29937.75|stop 29875.5|LOSS|-1.024R|$-127.5|stop|6bars
MNQ1!|L|1m|ALL|sw 2026-07-16 12:30|PD|swX 29386.75|ch 2026-07-16 12:52|chL 29401.25|rt 2026-07-16 12:55|bos 2026-07-16 13:30|bosL 29488.5|fvg 29471.5-29478.5|en 2026-07-16 13:35|enPx 29471.5|stop 29386.75|LOSS|-1.018R|$-172.5|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-16 12:50|PD|swX 29383.5|ch 2026-07-16 13:07|chL 29437.25|rt 2026-07-16 13:08|bos 2026-07-16 13:30|bosL 29488.5|fvg 29471.5-29478.5|en 2026-07-16 13:35|enPx 29471.5|stop 29383.5|LOSS|-1.017R|$-179|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-17 20:00|AS|swX 28712.5|ch 2026-07-17 20:20|chL 28748.75|rt 2026-07-17 20:21|bos 2026-07-19 22:00|bosL 28770.75|fvg 28779-28791.5|en 2026-07-19 22:05|enPx 28779|stop 28712.5|LOSS|-1.023R|$-136|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-17 20:10|AS|swX 28716|ch 2026-07-17 20:30|chL 28754.75|rt 2026-07-17 20:32|bos 2026-07-19 22:00|bosL 28770.75|fvg 28779-28791.5|en 2026-07-19 22:05|enPx 28779|stop 28716|LOSS|-1.024R|$-129|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:30|AS|swX 27629.25|ch 2026-07-29 17:49|chL 27690.5|rt 2026-07-29 17:56|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27629.25|LOSS|-1.015R|$-199|stop|12bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:00|PD+AS|swX 27595|ch 2026-07-29 17:21|chL 27740|rt 2026-07-29 17:22|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27595|LOSS|-1.011R|$-267.5|stop|12bars
MNQ1!|L|1m|ALL|sw 2026-07-29 17:05|AS|swX 27634.25|ch 2026-07-29 17:21|chL 27740|rt 2026-07-29 17:22|bos 2026-07-29 18:00|bosL 27728|fvg 27727.25-27808.25|en 2026-07-29 18:30|enPx 27727.25|stop 27634.25|LOSS|-1.016R|$-189|stop|12bars
MNQ1!|L|1m|ALL|sw 2026-08-17 12:40|AS|swX 30183|ch 2026-08-17 12:52|chL 30198|rt 2026-08-17 12:54|bos 2026-08-17 13:30|bosL 30227.5|fvg 30229.75-30230.5|en 2026-08-17 13:35|enPx 30229.75|stop 30183|LOSS|-1.032R|$-96.5|stop|1bars
MNQ1!|L|1m|ALL|sw 2026-08-17 12:45|AS|swX 30180|ch 2026-08-17 13:00|chL 30211|rt 2026-08-17 13:01|bos 2026-08-17 13:30|bosL 30227.5|fvg 30229.75-30230.5|en 2026-08-17 13:35|enPx 30229.75|stop 30180|LOSS|-1.03R|$-102.5|stop|1bars
